"Data Source: Data Downloads Tools in the Climate Toolbox (https://climatetoolbox.org/tool/data-download)"
Download Date: 12/01/2024

Product: Historical Climate (Daily) - gridMET (METDATA)(http://www.climatologylab.org/gridmet.html) 
"Location (US County): Boulder County, Colorado"
Variable List: 
tmmn: Min Temperature
tmmx: Max Temperature
pr: Precipitation
********************************************************
Year,Month,Day,tmmn(degC),tmmx(degC),pr(mm)
1979,1,1,-24.58,-15.08,0
1979,1,2,-22.48,-4.99,0.13869
1979,1,3,-15.18,-1.63,1.27381
1979,1,4,-16.96,-5.56,0.79464
1979,1,5,-18.16,-4.61,0.53988
1979,1,6,-14.62,-2.56,0.3881
1979,1,7,-19.99,-7.93,0.01905
1979,1,8,-18.52,-1.45,0
1979,1,9,-12.29,0.76,0.00952
1979,1,10,-14.56,-3.04,0.50238
1979,1,11,-10.59,4.91,2.70357
1979,1,12,-11.04,6.45,2.04464
1979,1,13,-16.27,-4.35,0.75952
1979,1,14,-14.91,-1.54,0.575
1979,1,15,-8.66,3.20,0.23214
1979,1,16,-7.28,4.00,2.66071
1979,1,17,-8.36,3.27,0.12083
1979,1,18,-5.16,5.81,0.18571
1979,1,19,-7.04,3.73,0.17381
1979,1,20,-9.77,0.35,0.49821
1979,1,21,-7.92,6.34,0
1979,1,22,-13.78,1.41,3.8244
1979,1,23,-16.06,-4.35,0
1979,1,24,-11.85,4.74,0
1979,1,25,-11.50,-1.05,5.41131
1979,1,26,-15.56,-5.94,0.95298
1979,1,27,-18.54,-5.41,0
1979,1,28,-18.15,-6.20,0.13571
1979,1,29,-19.84,-8.33,2.02321
1979,1,30,-21.51,-10.90,0
1979,1,31,-21.22,-4.69,0.0625
1979,2,1,-14.27,1.17,0.82024
1979,2,2,-14.14,-1.52,0.13214
1979,2,3,-14.56,-2.55,0
1979,2,4,-14.15,-2.94,0.0131
1979,2,5,-15.07,1.92,0.10833
1979,2,6,-8.54,0.93,0.34881
1979,2,7,-9.27,5.00,0.3869
1979,2,8,-8.51,-0.38,0.36429
1979,2,9,-8.32,6.56,0.41667
1979,2,10,-5.00,8.25,0
1979,2,11,-1.76,10.70,0
1979,2,12,-1.32,11.50,0.31845
1979,2,13,0.30,13.92,0.0881
1979,2,14,2.04,15.53,0.14643
1979,2,15,-11.44,6.18,0.02262
1979,2,16,-13.22,0.02,0.25893
1979,2,17,-10.34,3.03,0.00714
1979,2,18,-8.20,5.98,0
1979,2,19,-4.90,7.89,0.0131
1979,2,20,-4.07,5.05,0.00714
1979,2,21,-5.49,6.33,0.22679
1979,2,22,-5.18,5.48,1.33869
1979,2,23,-7.46,3.72,0.02857
1979,2,24,-7.71,3.93,0.22976
1979,2,25,-7.14,8.90,0
1979,2,26,-0.99,11.13,5.25952
1979,2,27,-3.53,6.17,4.58631
1979,2,28,-7.18,6.34,0
1979,3,1,-4.92,9.06,0
1979,3,2,-3.36,8.69,4.06726
1979,3,3,-9.49,0.52,1.16012
1979,3,4,-9.78,3.83,0
1979,3,5,-6.63,7.49,0.14405
1979,3,6,-3.43,9.90,0
1979,3,7,-0.72,12.34,2.79167
1979,3,8,-4.19,8.66,4.00238
1979,3,9,-8.26,0.32,3.93512
1979,3,10,-10.64,5.09,0.11429
1979,3,11,-4.28,13.13,0
1979,3,12,-1.91,13.37,0
1979,3,13,-3.62,8.05,0
1979,3,14,-5.21,10.34,0
1979,3,15,-3.75,11.38,0
1979,3,16,-2.82,13.71,0
1979,3,17,-2.73,9.92,1.30298
1979,3,18,-5.70,5.01,13.7994
1979,3,19,-8.21,2.54,0.90119
1979,3,20,-5.90,3.80,0.84048
1979,3,21,-4.70,5.42,5.88274
1979,3,22,-6.33,2.09,6.97202
1979,3,23,-9.61,3.18,0.47083
1979,3,24,-5.45,8.44,0.20774
1979,3,25,-3.15,10.45,0
1979,3,26,-5.94,5.23,2.19048
1979,3,27,-4.90,10.58,0.23571
1979,3,28,-1.40,12.19,0.35536
1979,3,29,-1.15,8.63,0.15476
1979,3,30,-3.38,9.11,0.08393
1979,3,31,-4.22,7.97,11.38393
1979,4,1,-7.57,0.90,7.725
1979,4,2,-9.97,1.83,0.00357
1979,4,3,-10.09,1.13,5.25952
1979,4,4,-9.26,5.02,0.2875
1979,4,5,-4.52,11.44,0
1979,4,6,-2.52,14.19,0
1979,4,7,0.92,14.72,0.0631
1979,4,8,-2.20,12.76,0
1979,4,9,-0.54,14.31,0.19226
1979,4,10,-1.88,8.64,14.64702
1979,4,11,-4.54,3.93,16.78214
1979,4,12,-5.99,4.71,0.1875
1979,4,13,-7.22,9.32,0
1979,4,14,-1.84,14.57,0
1979,4,15,0.96,18.27,0
1979,4,16,3.84,20.00,0
1979,4,17,4.29,20.84,0
1979,4,18,3.19,19.26,0
1979,4,19,1.99,15.71,0
1979,4,20,-2.45,13.07,0
1979,4,21,-0.26,16.96,0
1979,4,22,2.53,19.67,0
1979,4,23,4.38,20.76,0.05952
1979,4,24,4.02,20.30,0
1979,4,25,0.24,11.90,4.75476
1979,4,26,-2.46,13.54,0
1979,4,27,-1.73,12.96,0.01071
1979,4,28,0.50,13.59,0.77083
1979,4,29,-1.27,15.41,0.2756
1979,4,30,-0.66,12.18,1.06429
1979,5,1,2.23,15.74,10.8494
1979,5,2,-3.02,8.29,26.53869
1979,5,3,-3.65,3.15,1.96131
1979,5,4,-4.45,13.84,0.10179
1979,5,5,2.78,19.28,0.01429
1979,5,6,5.00,17.93,3.66607
1979,5,7,0.94,14.23,9.47679
1979,5,8,-1.74,6.49,15.5619
1979,5,9,-5.14,3.00,5.54583
1979,5,10,-6.70,0.60,0.7381
1979,5,11,-6.84,9.30,0.0869
1979,5,12,-3.35,10.79,0.04583
1979,5,13,-0.87,15.42,0.20655
1979,5,14,2.75,17.61,0
1979,5,15,5.14,20.79,0.20774
1979,5,16,6.62,21.70,1.48571
1979,5,17,6.36,20.80,0.00357
1979,5,18,6.15,20.56,0.18869
1979,5,19,6.30,20.54,0.07857
1979,5,20,2.58,13.15,3.77857
1979,5,21,1.09,18.80,1.01548
1979,5,22,6.09,20.40,1.47321
1979,5,23,3.04,18.58,1.09464
1979,5,24,3.30,19.88,2.05714
1979,5,25,6.89,19.74,3.47143
1979,5,26,6.34,20.45,0.3369
1979,5,27,6.29,22.53,1.43512
1979,5,28,7.61,20.98,5.06548
1979,5,29,7.75,19.66,8.94286
1979,5,30,1.03,11.51,10.60298
1979,5,31,-0.92,12.33,1.30476
1979,6,1,-1.08,16.22,0.12798
1979,6,2,1.47,18.67,0.14702
1979,6,3,3.40,21.96,0.11548
1979,6,4,6.43,23.82,0
1979,6,5,6.61,24.44,0.04286
1979,6,6,8.55,24.37,4.71429
1979,6,7,2.05,16.42,24.75179
1979,6,8,0.76,7.59,21.74464
1979,6,9,-0.19,9.87,2.56012
1979,6,10,0.12,19.27,0.025
1979,6,11,4.51,23.63,0
1979,6,12,8.34,26.22,0
1979,6,13,9.75,27.80,0.11429
1979,6,14,11.70,27.60,0.23988
1979,6,15,10.06,26.23,0.14048
1979,6,16,9.25,24.23,2.44762
1979,6,17,7.44,22.55,0.4381
1979,6,18,6.10,22.29,0.64464
1979,6,19,4.48,13.87,1.0006
1979,6,20,2.96,21.29,0
1979,6,21,7.58,25.44,0
1979,6,22,9.11,26.10,0.13452
1979,6,23,7.62,23.28,1.12679
1979,6,24,8.27,25.88,0
1979,6,25,10.37,27.79,0
1979,6,26,11.58,29.16,0
1979,6,27,12.03,27.01,0
1979,6,28,11.23,28.49,0
1979,6,29,11.30,29.04,0
1979,6,30,11.36,28.40,0.59821
1979,7,1,10.68,27.29,0.4006
1979,7,2,10.01,26.13,1.18988
1979,7,3,10.83,27.78,4.81905
1979,7,4,8.80,24.65,0.12143
1979,7,5,8.74,24.07,1.225
1979,7,6,9.11,26.57,0.48155
1979,7,7,8.83,27.28,0
1979,7,8,10.35,29.27,0
1979,7,9,10.46,27.05,0
1979,7,10,9.69,29.88,0
1979,7,11,11.68,30.01,0
1979,7,12,12.79,30.19,1.1744
1979,7,13,12.11,28.78,0
1979,7,14,10.24,29.35,0.35655
1979,7,15,9.93,26.20,0.25
1979,7,16,9.30,28.65,2.51726
1979,7,17,8.25,25.29,1.47679
1979,7,18,8.70,25.75,0.81488
1979,7,19,8.41,24.64,1.86429
1979,7,20,7.77,26.66,1.13869
1979,7,21,9.19,27.33,1.70655
1979,7,22,10.49,27.17,0.15655
1979,7,23,10.48,26.70,1.18929
1979,7,24,10.52,26.14,0.97917
1979,7,25,8.80,27.84,0
1979,7,26,10.41,28.78,1.42679
1979,7,27,11.23,28.60,1.28869
1979,7,28,11.68,29.72,0
1979,7,29,11.82,29.94,0.01786
1979,7,30,10.99,27.46,1.83214
1979,7,31,9.57,23.51,0
1979,8,1,8.55,26.57,0.44345
1979,8,2,12.33,26.22,0
1979,8,3,10.27,28.70,0.02857
1979,8,4,11.78,29.93,0.04762
1979,8,5,12.23,30.44,0
1979,8,6,11.78,31.44,0
