"Data Source: Data Downloads Tools in the Climate Toolbox (https://climatetoolbox.org/tool/data-download)"
Download Date: 12/01/2024

Product: Future Climate Projections (Daily) - MACAv2-METDATA(https://climate.northwestknowledge.net/MACA/) 
"Location (US County): Boulder County, Colorado"
Variable List: 
tasmax: Max Daily Temperature from CCSM4 (USA) historical (1950-2005)
tasmin: Min Daily Temperature from CCSM4 (USA) historical (1950-2005)
pr: Precipitation from CCSM4 (USA) historical (1950-2005)
********************************************************
Year,Month,Day,tasmax-CCSM4(degC),tasmin-CCSM4(degC),pr-CCSM4(mm)
1950,1,1,12.15,-0.19,0.11559
1950,1,2,7.54,-2.47,0.00443
1950,1,3,8.07,-3.73,0
1950,1,4,9.96,-4.93,0
1950,1,5,10.70,-4.43,0
1950,1,6,10.58,-4.38,0
1950,1,7,10.52,-5.02,0.01031
1950,1,8,7.46,-3.47,0.96034
1950,1,9,4.77,-3.64,0.30145
1950,1,10,4.17,-5.84,0.67273
1950,1,11,1.97,-5.38,0.69397
1950,1,12,2.41,-9.13,0.1888
1950,1,13,3.56,-7.59,0.02193
1950,1,14,2.99,-9.13,0
1950,1,15,3.72,-10.98,0.03142
1950,1,16,2.79,-7.20,0.64321
1950,1,17,3.58,-11.38,0.08944
1950,1,18,2.77,-8.07,0.12082
1950,1,19,3.65,-4.14,0.08577
1950,1,20,5.96,-3.48,0
1950,1,21,8.00,-8.17,0
1950,1,22,6.13,-3.64,0
1950,1,23,4.78,-3.99,1.05346
1950,1,24,4.30,-6.47,0.9359
1950,1,25,1.80,-6.77,0.43181
1950,1,26,1.16,-8.59,0.10501
1950,1,27,-0.14,-7.23,1.38312
1950,1,28,1.24,-10.51,0.0471
1950,1,29,5.42,-10.57,0.01214
1950,1,30,9.45,-6.75,0.05511
1950,1,31,9.88,-7.14,0.02567
1950,2,1,7.55,-2.93,0.09573
1950,2,2,7.17,-4.93,1.35889
1950,2,3,2.73,-5.33,1.28089
1950,2,4,2.89,-7.59,1.09799
1950,2,5,1.09,-12.61,0
1950,2,6,-7.31,-20.69,0.1938
1950,2,7,-10.72,-24.12,0.12104
1950,2,8,4.54,-17.50,0.04563
1950,2,9,5.02,-9.70,0.01724
